director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,summary,overview
Blake Edwards,Rock Hudson,Vernon Dobtcheff,Jeremy Kemp,Comedy Drama Musical Romance War,Darling Lili,Rock Hudson Vernon Dobtcheff Jeremy Kemp Blake Edwards Comedy Drama Musical Romance War,"World War I. Lili Smith is a beloved British music hall singer, often providing inspiration for the British and French troops and general populace singing rallying patriotic songs. She is also half German and is an undercover German spy, using her feminine wiles to gather information from the high ranking and generally older military officers and diplomats she seduces."
Hugh Wilson,Brendan Fraser,Alex Rocco,Eric Idle,Comedy Family Romance,Dudley Do-Right,Brendan Fraser Alex Rocco Eric Idle Hugh Wilson Comedy Family Romance,"Based on the 60's-era cartoon of the same name. Royal Canadian Mountie Dudley Do-right is busy keeping the peace in his small mountain town when his old rival, Snidely Whiplash, comes up with a plot to buy all the property in town, then start a phony gold rush by seeding the river with gold nuggets. Can this well-meaning (though completely incompetent) Mountie stop Whiplash's evil plan?"
Camille Delamarre,Ed Skrein,Noémie Lenoir,Radivoje Bukvic,Action Crime Thriller,The Transporter Refueled,Ed Skrein Noémie Lenoir Radivoje Bukvic Camille Delamarre Action Crime Thriller,"The fast-paced action movie is again set in the criminal underworld in France, where Frank Martin is known as The Transporter, because he is the best driver and mercenary money can buy. In this installment, he meets Anna and they attempt to take down a group of ruthless Russian human traffickers who also have kidnapped Frank’s father."
Laurence Dunmore,Johnny Depp,Jack Davenport,Richard Coyle,Drama Romance,The Libertine,Johnny Depp Jack Davenport Richard Coyle Laurence Dunmore Drama Romance,"The story of John Wilmot, a.k.a. the Earl of Rochester, a 17th century poet who famously drank and debauched his way to an early grave, only to earn posthumous critical acclaim for his life's work."
Paul Verhoeven,Michiel Huisman,Sebastian Koch,Christian Berkel,Drama Thriller War,Babysitter's Black Book,Michiel Huisman Sebastian Koch Christian Berkel Paul Verhoeven Drama Thriller War,"When her parents' financial problems threaten Ashley's dreams for college, the high school whiz kid takes matters into her own hands. She and her girlfriends turn their babysitting business into a wildly successful escort service for dads. But in this small suburban community, nothing stays secret for long."
Christian Carion,Gary Lewis,Dany Boon,Ian Richardson,Drama History Music Romance War,Joyeux Noël,Gary Lewis Dany Boon Ian Richardson Christian Carion Drama History Music Romance War,"France, 1914, during World War I. On Christmas Eve, an extraordinary event takes place in the bloody no man's land that the French and the Scots dispute with the Germans…"
David Palmer,Bradley Cooper,Tom Arnold,Beau Bridges,Action Comedy Romance,Hit & Run,Bradley Cooper Tom Arnold Beau Bridges David Palmer Action Comedy Romance,"When former getaway driver, Charlie Bronson jeopardises his Witness Protection Plan identity in order to help his girlfriend get to Los Angeles, the feds and Charlie's former gang chase them on the road."
Callie Khouri,Stephen Root,Ted Danson,Roger Cross,Comedy Crime Thriller,Mad Money,Stephen Root Ted Danson Roger Cross Callie Khouri Comedy Crime Thriller,Three female employees of the Federal Reserve plot to steal money that is about to be destroyed.
Rowan Joffe,Colin Firth,Ben Crompton,Anne-Marie Duff,Drama Mystery Thriller,Before I Go to Sleep,Colin Firth Ben Crompton Anne-Marie Duff Rowan Joffe Drama Mystery Thriller,"A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her."
William Friedkin,Roy Scheider,Joe Spinell,Amidou,Adventure Drama Thriller,Sorcerer,Roy Scheider Joe Spinell Amidou William Friedkin Adventure Drama Thriller,"Four men from different parts of the globe, all hiding from their pasts in the same remote South American town, agree to risk their lives transporting several cases of dynamite (which is so old that it is dripping unstable nitroglycerin) across dangerous jungle terrain."
John Curran,Robert De Niro,Milla Jovovich,Frances Conroy,Drama Thriller,Harry Potter and the Philosopher's Stone,Robert De Niro Milla Jovovich Frances Conroy John Curran Drama Thriller,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame."
Laurent Tirard,Romain Duris,Ludivine Sagnier,Fabrice Luchini,Comedy History,Molière,Romain Duris Ludivine Sagnier Fabrice Luchini Laurent Tirard Comedy History,"Molière, a down-and-out actor-cum-playwright up to his ears in debt. When the wealthy Jourdain offers to cover that debt so that Molière's theatrical talents might help Jourdain win the heart of a certain widowed marquise, hilarity ensues."
Scott Cooper,Christian Bale,Sam Shepard,Dendrie Taylor,Crime Drama Thriller,Out of the Furnace,Christian Bale Sam Shepard Dendrie Taylor Scott Cooper Crime Drama Thriller,"Two brothers live in the economically-depressed Rust Belt, when a cruel twist of fate lands one in prison. His brother is then lured into one of the most violent crime rings in the Northeast."
Tony Gilroy,Tom Wilkinson,Denis O'Hare,Sydney Pollack,Crime Drama Mystery Thriller,Michael Clayton,Tom Wilkinson Denis O'Hare Sydney Pollack Tony Gilroy Crime Drama Mystery Thriller,A law firm brings in its 'fixer' to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.
Peter Segal,Wilford Brimley,Bradley Whitford,Sela Ward,Adventure Comedy,My Fellow Americans,Wilford Brimley Bradley Whitford Sela Ward Peter Segal Adventure Comedy,"They used to run the country. Now they're running for their lives! Two on-the-lam former Presidents of the United States. Framed in a scandal by the current President and pursued by armed agents, the two squabbling political foes plunge into a desperately frantic search for the evidence that will establish their innocence."
Mark Pellington,Jeff Bridges,Spencer Treat Clark,Hope Davis,Crime Drama Thriller,Arlington Road,Jeff Bridges Spencer Treat Clark Hope Davis Mark Pellington Crime Drama Thriller,Threats from sinister foreign nationals aren't the only thing to fear. Bedraggled college professor Michael Faraday has been vexed (and increasingly paranoid) since his wife's accidental death in a botched FBI operation. But all that takes a backseat when a seemingly all-American couple set up house next door.
Juan José Campanella,Pablo Rago,Diego Ramos,Gabriel Almirón,Adventure Animation Family Sport,Underdogs,Pablo Rago Diego Ramos Gabriel Almirón Juan José Campanella Adventure Animation Family Sport,"The story of a small-town high school football team in rural Ohio destined to play their cross-town rival, a perennial powerhouse, while standing up for an entire community."
Woody Allen,Ornella Muti,Judy Davis,Alessandra Mastronardi,Comedy Romance,To Rome with Love,Ornella Muti Judy Davis Alessandra Mastronardi Woody Allen Comedy Romance,"Four tales unfold in the Eternal City: While vacationing in Rome, architect John encounters a young man whose romantic woes remind him of a painful incident from his own youth; retired opera director Jerry discovers a mortician with an amazing voice, and he seizes the opportunity to rejuvenate his own flagging career; a young couple have separate romantic interludes; a spotlight shines on an ordinary man."
Clint Eastwood,Clint Eastwood,Warren Clarke,Kenneth Colley,Action Adventure Thriller,Firefox,Clint Eastwood Warren Clarke Kenneth Colley Clint Eastwood Action Adventure Thriller,"The Soviets have developed a revolutionary new jet fighter, called 'Firefox'. Worried that the jet will be used as a first-strike weapon—as there are rumours that it is undetectable by radar—the British send ex-Vietnam War pilot, Mitchell Gant on a covert mission into the Soviet Union to steal the Firefox."
Trey Parker,Minnie Driver,Eric Idle,Trey Parker,Animation Comedy Fantasy Musical,"South Park: Bigger, Longer & Uncut",Minnie Driver Eric Idle Trey Parker Trey Parker Animation Comedy Fantasy Musical,"When the four boys see an R-rated movie featuring Canadians Terrance and Philip, they are pronounced ""corrupted"", and their parents pressure the United States to wage war against Canada."
Stuart Gillard,Paige Turco,John Aylward,Matt Hill,Action Adventure Comedy Family Fantasy Sci-Fi,Teenage Mutant Ninja Turtles III,Paige Turco John Aylward Matt Hill Stuart Gillard Action Adventure Comedy Family Fantasy Sci-Fi,"The four turtles travel back in time to the days of the legendary and deadly samurai in ancient Japan, where they train to perfect the art of becoming one. The turtles also assist a small village in an uprising."
Brian Robbins,Keanu Reeves,D.B. Sweeney,DeWayne Warren,Drama Sport,Hardball,Keanu Reeves D.B. Sweeney DeWayne Warren Brian Robbins Drama Sport,"An aimless young man who is scalping tickets, gambling and drinking, agrees to coach a Little League team from the Cabrini Green housing project in Chicago as a condition of getting a loan from a friend."
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Comedy Drama Romance,Silver Linings Playbook,Jennifer Lawrence Robert De Niro Bradley Cooper David O. Russell Comedy Drama Romance,"After spending eight months in a mental institution, a former teacher moves back in with his parents and tries to reconcile with his ex-wife."
Richard LaGravenese,Hunter Parrish,Scott Glenn,Imelda Staunton,Biography Crime Drama,Freedom Writers,Hunter Parrish Scott Glenn Imelda Staunton Richard LaGravenese Biography Crime Drama,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school."
Tyler Perry,Omari Hardwick,Loretta Devine,Kimberly Elise,Drama,For Colored Girls,Omari Hardwick Loretta Devine Kimberly Elise Tyler Perry Drama,"About existence from the perspective of 20 nameless black females. Each of the women portray one of the characters represented in the collection of twenty poems, revealing different issues that impact women in general and women of color in particular."
Louis Leterrier,Jason Statham,Qi Shu,Matt Schulze,Action Crime Thriller,The Transporter,Jason Statham Qi Shu Matt Schulze Louis Leterrier Action Crime Thriller,"Former Special Forces officer, Frank Martin will deliver anything to anyone for the right price, and his no-questions-asked policy puts him in high demand. But when he realizes his latest cargo is alive, it sets in motion a dangerous chain of events. The bound and gagged Lai is being smuggled to France by a shady American businessman, and Frank works to save her as his own illegal activities are uncovered by a French detective."
Jeff Wadlow,Djimon Hounsou,Neil Brown Jr.,Leslie Hope,Action Drama Sport,Never Back Down,Djimon Hounsou Neil Brown Jr. Leslie Hope Jeff Wadlow Action Drama Sport,"Jake, full of anger after his father's death, is just starting to find a place for himself at his new Orlando high school - until Ryan, head of an underground MMA fight club, picks Jake out as a prime opponent. After being trounced by Ryan in front of the entire school, Jake begins training under the firm, moral guidance of a MMA master, where he learns how to fight... and how to avoid a fight. But it becomes obvious that a rematch will be inevitable if Jake wants to stop Ryan and his bullying, once and for all."
Katt Shea,Jason London,Rachel Blanchard,Eddie Kaye Thomas,Horror Sci-Fi Thriller,The Rage: Carrie 2,Jason London Rachel Blanchard Eddie Kaye Thomas Katt Shea Horror Sci-Fi Thriller,"After the suicide of her only friend, Rachel has never felt more on the outside. The one person who reached out to her, Jessie, also happens to be part of the popular crowd that lives to torment outsiders like her. But Rachel has something else that separates her from the rest, a secret amazing ability to move things with her mind. Sue Snell, the only survivor of Carrie White's rampage twenty-two years ago, may hold the key to helping Rachel come to terms with her awesome, but unwanted power. But as Rachel slowly learns to trust, a terrible trap is being laid for her. And making her angry could prove to be fatal."
unknown,Chris Harrison,unknown,unknown,Game-Show Reality-TV Romance,The Bachelor,Chris Harrison unknown unknown unknown Game-Show Reality-TV Romance,"Jimmie is seeing his single friends get married one by one. He isn't too worried until his girlfriend Anne catches the bouquet at his friend Marco's wedding. Suddenly, his wild mustang days are numbered. He finally decides to propose to her, but he sticks his foot in his mouth and botches the proposal. Being insulted by the defeatist proposal, Anne leaves town on an assignment. After she's gone, he finds out that his recently-deceased grandfather's will stipulates that he gets nothing of a multi-million dollar fortune unless he's married by 6:05pm on his 30th birthday: tomorrow! Not being able to find Anne, Jimmie begins backtracking through his past girlfriends to find a wife."
Sam Mendes,Catherine O'Hara,Jim Gaffigan,Carmen Ejogo,Comedy Drama Romance,Away We Go,Catherine O'Hara Jim Gaffigan Carmen Ejogo Sam Mendes Comedy Drama Romance,"Verona and Burt have moved to Colorado to be close to Burt's parents but, with Veronica expecting their first child, Burt's parents decide to move to Belgium, now leaving them in a place they hate and without a support structure in place. They set off on a whirlwind tour of of disparate locations where they have friends or relatives, sampling not only different cities and climates but also different families. Along the way they realize that the journey is less about discovering where they want to live and more about figuring out what type of parents they want to be."
Joshua Michael Stern,Madeline Carroll,Judge Reinhold,Nathan Lane,Comedy Drama,Swing Vote,Madeline Carroll Judge Reinhold Nathan Lane Joshua Michael Stern Comedy Drama,"In a remarkable turn of events, the result of the presidential election comes down to one man's vote."
Brad Silberling,Jake Gyllenhaal,Holly Hunter,Bob Clendenin,Drama Romance,Moonlight Mile,Jake Gyllenhaal Holly Hunter Bob Clendenin Brad Silberling Drama Romance,"As he copes with the death of his fiancee along with her parents, a young man must figure out what he wants out of life."
Tomas Alfredson,Benedict Cumberbatch,Colin Firth,Gary Oldman,Drama Mystery Thriller,Tinker Tailor Soldier Spy,Benedict Cumberbatch Colin Firth Gary Oldman Tomas Alfredson Drama Mystery Thriller,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet mole within his former colleagues at the heart of MI6."
John Duigan,Elaine Hendrix,Jill Hennessy,Sarah Wynter,Comedy Drama Romance,Lovely Molly,Elaine Hendrix Jill Hennessy Sarah Wynter John Duigan Comedy Drama Romance,"Newlywed Molly moves into her deceased father's house in the countryside, where painful memories soon begin to haunt her."
Jodie Foster,Jennifer Lawrence,Cherry Jones,Riley Thomas Stewart,Drama,The Beaver,Jennifer Lawrence Cherry Jones Riley Thomas Stewart Jodie Foster Drama,"Suffering from a severe case of depression, toy company CEO Walter Black begins using a beaver hand puppet to help him open up to his family. With his father seemingly going insane, adolescent son Porter pushes for his parents to get a divorce."
Colin Higgins,Dolly Parton,Barry Corbin,Dom DeLuise,Comedy Musical,The Best Little Whorehouse in Texas,Dolly Parton Barry Corbin Dom DeLuise Colin Higgins Comedy Musical,"The town sheriff and a madame team up to stop a television evangelist from shutting down the local whorehouse, the famed ""Chicken Ranch."""
David Cronenberg,Jennifer Jason Leigh,Sarah Polley,Callum Rennie,Horror Sci-Fi Thriller,eXistenZ,Jennifer Jason Leigh Sarah Polley Callum Rennie David Cronenberg Horror Sci-Fi Thriller,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.
Steven Spielberg,Harrison Ford,Karen Allen,William Hootkins,Action Adventure,Raiders of the Lost Ark,Harrison Ford Karen Allen William Hootkins Steven Spielberg Action Adventure,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."
Chris Columbus,Macaulay Culkin,Kieran Culkin,Devin Ratray,Adventure Comedy Family,Home Alone 2: Lost in New York,Macaulay Culkin Kieran Culkin Devin Ratray Chris Columbus Adventure Comedy Family,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas eve."
Steven Spielberg,Bob Balaban,Teri Garr,Melinda Dillon,Drama Sci-Fi,Close Encounters of the Third Kind,Bob Balaban Teri Garr Melinda Dillon Steven Spielberg Drama Sci-Fi,"After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen."
Jim Sonzero,Ian Somerhalder,Christina Milian,Rick Gonzalez,Drama Horror Sci-Fi Thriller,Pulse,Ian Somerhalder Christina Milian Rick Gonzalez Jim Sonzero Drama Horror Sci-Fi Thriller,"When their computer hacker friend accidentally channels a mysterious wireless signal, a group of co-eds rally to stop a terrifying evil from taking over the world."
Tony Scott,Dean Stockwell,Judge Reinhold,Ronny Cox,Action Comedy Crime Thriller,Beverly Hills Cop II,Dean Stockwell Judge Reinhold Ronny Cox Tony Scott Action Comedy Crime Thriller,"Axel heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin—and the chase is on."
Adam Shankman,Angus T. Jones,Kimberly J. Brown,Steve Harris,Comedy,Bringing Down the House,Angus T. Jones Kimberly J. Brown Steve Harris Adam Shankman Comedy,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life."
Jonathan Demme,Anthony Hopkins,Scott Glenn,Anthony Heald,Crime Drama Horror Thriller,The Silence of the Lambs,Anthony Hopkins Scott Glenn Anthony Heald Jonathan Demme Crime Drama Horror Thriller,"Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out."
Penelope Spheeris,Tia Carrere,Lara Flynn Boyle,Kurt Fuller,Comedy Music,Wayne's World,Tia Carrere Lara Flynn Boyle Kurt Fuller Penelope Spheeris Comedy Music,"The adventures of two amiably aimless metal-head friends, Wayne and Garth. From Wayne's basement, the pair broadcast a talk-show called ""Wayne's World"" on local public access television. The show comes to the attention of a sleazy network executive who wants to produce a big-budget version of ""Wayne's World""—and he also wants Wayne's girlfriend, a rock singer named Cassandra. Wayne and Garth have to battle the executive not only to save their show, but also Cassandra."
Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Action Comedy Documentary,Jackass 3D,Bam Margera Steve-O Chris Pontius Jeff Tremaine Action Comedy Documentary,"Johnny Knoxville, Bam Margera, Steve-O, Wee Man and the rest of their fearless and foolhardy friends take part in another round of outrageous pranks and stunts. In addition to standing in the path of a charging bull, launching themselves into the air and crashing through various objects, the guys perform in segments such as ""Sweatsuit Cocktail,"" ""Beehive Tetherball"" and ""Lamborghini Tooth Pull."""
Jeannot Szwarc,Roy Scheider,Murray Hamilton,Joseph Mascolo,Adventure Horror Thriller,Jaws 2,Roy Scheider Murray Hamilton Joseph Mascolo Jeannot Szwarc Adventure Horror Thriller,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.
Raja Gosnell,Jamie Lee Curtis,Nick Zano,Ali Hillis,Adventure Comedy Drama Family Romance,Beverly Hills Chihuahua,Jamie Lee Curtis Nick Zano Ali Hillis Raja Gosnell Adventure Comedy Drama Family Romance,"A pampered Beverly Hills chihuahua named Chloe who, while on vacation in Mexico with her owner Viv's niece, Rachel, gets lost and must rely on her friends to help her get back home before she is caught by a dognapper who wants to ransom her."
James Wan,Mackenzie Foy,Lili Taylor,Hayley McFarland,Horror Mystery Thriller,The Conjuring,Mackenzie Foy Lili Taylor Hayley McFarland James Wan Horror Mystery Thriller,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives."
Brian Levant,Nia Long,Tracy Morgan,Jay Mohr,Adventure Comedy Family Romance,Are We There Yet?,Nia Long Tracy Morgan Jay Mohr Brian Levant Adventure Comedy Family Romance,"The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom dates, are determined to turn the trip into a nightmare for Nick."
Ben Falcone,Gary Cole,Mark Duplass,Ben Falcone,Comedy,Tammy,Gary Cole Mark Duplass Ben Falcone Ben Falcone Comedy,"After losing her job and learning that her husband has been unfaithful, a woman hits the road with her profane, hard-drinking grandmother."
D.J. Caruso,Sarah Roemer,Aaron Yoo,Jose Pablo Cantillo,Drama Mystery Thriller,Disturbia,Sarah Roemer Aaron Yoo Jose Pablo Cantillo D.J. Caruso Drama Mystery Thriller,"Kale is a 17-year-old placed under house arrest after punching his teacher. He is confined to his house, and decides to use his free time spying on his neighbors. Things start to get weird when guests enter the Turner's house and don't come back out. Kale and his friends, Ronnie and Ashley, start to grow more and more interested in what is actually happening within the house of Robert Turner."
Richard Linklater,Miranda Cosgrove,Sarah Silverman,Mike White,Comedy Music,School of Rock,Miranda Cosgrove Sarah Silverman Mike White Richard Linklater Comedy Music,"Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fifth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing."
Paul W.S. Anderson,Christopher Lambert,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,Action Adventure Fantasy Sci-Fi Thriller,Mortal Kombat,Christopher Lambert Cary-Hiroyuki Tagawa Bridgette Wilson-Sampras Paul W.S. Anderson Action Adventure Fantasy Sci-Fi Thriller,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe."
Paul McGuigan,Jessica Paré,Christopher Cousins,Mark Camacho,Drama Mystery Romance Thriller,Wicker Park,Jessica Paré Christopher Cousins Mark Camacho Paul McGuigan Drama Mystery Romance Thriller,"Matthew, a young advertising executive in Chicago, puts his life and a business trip to China on hold when he thinks he sees Lisa, the love of his life who left him without a word two years earlier, walking out of a restaurant one day."
Keenen Ivory Wayans,Busy Philipps,Jaime King,Brittany Daniel,Comedy Crime,White Chicks,Busy Philipps Jaime King Brittany Daniel Keenen Ivory Wayans Comedy Crime,"Two FBI agent brothers, Marcus and Kevin Copeland, accidentally foil a drug bust. As punishment, they are forced to escort a pair of socialites to the Hamptons, where they're going to be used as bait for a kidnapper. But when the girls realize the FBI's plan, they refuse to go. Left without options, Marcus and Kevin decide to pose as the sisters, transforming themselves from African-American men into a pair of blonde, white women."
Alexander Payne,Shailene Woodley,Nick Krause,Beau Bridges,Comedy Drama,The Descendants,Shailene Woodley Nick Krause Beau Bridges Alexander Payne Comedy Drama,"With his wife Elizabeth on life support after a boating accident, Hawaiian land baron, Matt King takes his daughters on a trip from Oahu to Kauai to confront a young real estate broker, who was having an affair with Elizabeth before her misfortune."
Andrew Davis,Tim Blake Nelson,Zane Holtz,Ski Carr,Adventure Comedy Drama Family Mystery,Holes,Tim Blake Nelson Zane Holtz Ski Carr Andrew Davis Adventure Comedy Drama Family Mystery,"Stanley's family is cursed with bad luck. Unfairly sentenced to months of detention at Camp Green Lake, he and his campmates are forced by the warden to dig holes in order to build character. What they don't know is that they are digging holes in order to search for a lost treasure hidden somewhere in the camp."
Julie Anne Robinson,Kelly Preston,Bobby Coleman,Melissa Ordway,Drama Family Music Romance,The Last Song,Kelly Preston Bobby Coleman Melissa Ordway Julie Anne Robinson Drama Family Music Romance,"A drama centered on a rebellious girl who is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect."
Steve McQueen,Quvenzhané Wallis,Scoot McNairy,Taran Killam,Biography Drama History,12 Years a Slave,Quvenzhané Wallis Scoot McNairy Taran Killam Steve McQueen Biography Drama History,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life."
Charles Stone III,Leonard Roberts,Nick Cannon,Jason Weaver,Comedy Drama Music Romance,Drumline,Leonard Roberts Nick Cannon Jason Weaver Charles Stone III Comedy Drama Music Romance,"A fish-out-of-water comedy about a talented street drummer from Harlem who enrolls in a Southern university, expecting to lead its marching band's drumline to victory. He initially flounders in his new world, before realizing that it takes more than talent to reach the top."
Tyler Perry,Michael Jai White,Cicely Tyson,Tasha Smith,Comedy Drama Romance,Why Did I Get Married Too?,Michael Jai White Cicely Tyson Tasha Smith Tyler Perry Comedy Drama Romance,Four couples reunite for their annual vacation in order to socialize and to spend time analyzing their marriages. Their intimate week in the Bahamas is disrupted by the arrival of an ex-husband determined to win back his recently remarried wife.
Tim Burton,Johnny Depp,Dianne Wiest,Conchata Ferrell,Fantasy Romance,Edward Scissorhands,Johnny Depp Dianne Wiest Conchata Ferrell Tim Burton Fantasy Romance,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.
Thea Sharrock,Sam Claflin,Emilia Clarke,Brendan Coyle,Drama Romance,Me Before You,Sam Claflin Emilia Clarke Brendan Coyle Thea Sharrock Drama Romance,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine."
Tyler Perry,John Amos,Tom Arnold,Romeo Miller,Comedy Crime Drama,Madea's Witness Protection,John Amos Tom Arnold Romeo Miller Tyler Perry Comedy Crime Drama,"For years, mild-mannered Wall Street banker George Needleman has meandered through life oblivious to his family's dysfunction and his company's malfeasance, but he's forced to wake up when he learns that he's been framed in a mob-backed Ponzi scheme. Placed under federal protection, George and his family are shipped down South to Madea's house, where the no-nonsense matriarch whips them all into shape using her special brand of tough love."
Aaron Seltzer,Alyson Hannigan,Carmen Electra,Fred Willard,Comedy Romance,Date Movie,Alyson Hannigan Carmen Electra Fred Willard Aaron Seltzer Comedy Romance,"Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father."
Robin Budd,Roger Rees,Rob Paulsen,Spencer Breslin,Adventure Animation Family Fantasy,Return to Never Land,Roger Rees Rob Paulsen Spencer Breslin Robin Budd Adventure Animation Family Fantasy,"In 1940, the world is besieged by World War II. Wendy, all grown up, has two children; including Jane, who does not believe Wendy's stories about Peter Pan."
Ava DuVernay,David Oyelowo,Tom Wilkinson,Oprah Winfrey,Biography Drama History,Selma,David Oyelowo Tom Wilkinson Oprah Winfrey Ava DuVernay Biography Drama History,"""Selma,"" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately led to the signing of the Voting Rights Act."
Steve Trenbirth,Haley Joel Osment,Phil Collins,Tony Jay,Adventure Animation Family Musical,The Jungle Book 2,Haley Joel Osment Phil Collins Tony Jay Steve Trenbirth Adventure Animation Family Musical,"Mowgli has been living in the man-village with his little stepbrother Ranjan and his best friend Shanti. But the man-cub still has that jungle rhythm in his heart, and he misses his old buddies Baloo and Bagheera. When Mowgli wanders back to the wild for some swingin' fun, he soon finds the man-eating tiger Shere Khan is lurking in the shadows and planning his revenge."
Stephen Kay,Barry Watson,Skye McCole Bartusiak,Charles Mesure,Drama Horror Mystery Thriller,Boogeyman,Barry Watson Skye McCole Bartusiak Charles Mesure Stephen Kay Drama Horror Mystery Thriller,"Every culture has one – the horrible monster fueling young children's nightmares. But for Tim, the Boogeyman still lives in his memories as a creature that devoured his father 16 years earlier. Is the Boogeyman real? Or did Tim make him up to explain why his father abandoned his family?"
Mennan Yapo,Nia Long,Amber Valletta,Marc Macaulay,Drama Mystery Thriller,Premonition,Nia Long Amber Valletta Marc Macaulay Mennan Yapo Drama Mystery Thriller,"A depressed housewife who learns her husband was killed in a car accident the day previously, awakens the next morning to find him alive and well at home, and then awakens the day after to a world in which he is still dead."
Jun Falkenstein,Kath Soucie,John Fiedler,Ken Sansom,Animation Comedy Drama Family Musical,The Tigger Movie,Kath Soucie John Fiedler Ken Sansom Jun Falkenstein Animation Comedy Drama Family Musical,"Winnie the Pooh, Piglet, Owl, Kanga, Roo, and Rabbit are preparing a suitable winter home for Eeyore, the perennially dejected donkey, but Tigger's continual bouncing interrupts their efforts. Rabbit suggests that Tigger go find others of his kind to bounce with, but Tigger thinks ""the most wonderful thing about tiggers is"" he's ""the only one!"" Just in case though, the joyously jouncy feline sets out to see if he can find relatives."
Boaz Yakin,Jay Hernandez,Joseph Julian Soria,Edgar Arreola,Adventure Family,Max,Jay Hernandez Joseph Julian Soria Edgar Arreola Boaz Yakin Adventure Family,A dog that helped soldiers in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.
